customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0020-JDNXP,False,Female,False,True,True,34,One year,False,Mailed check,61.25,1993.2,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
0021-IKXGC,False,Female,True,False,False,1,Month-to-month,True,Electronic check,72.1,72.1,True,Yes,Fiber optic,No,No,No,No,No,No
0022-TCJCI,True,Male,True,False,False,45,One year,False,Credit card (automatic),62.7,2791.5,True,No,DSL,Yes,No,Yes,No,No,Yes
0023-HGHWL,True,Male,True,False,False,1,Month-to-month,True,Electronic check,25.1,25.1,False,No phone service,DSL,No,No,No,No,No,No
0023-UYUPN,False,Female,True,True,False,50,One year,False,Electronic check,25.2,1306.3,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0023-XUOPT,True,Female,False,True,False,13,Month-to-month,False,Electronic check,94.1,1215.6,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
0027-KWYKW,False,Female,False,True,True,23,Month-to-month,True,Electronic check,83.75,1849.95,True,Yes,Fiber optic,No,No,No,No,Yes,No
0030-FNXPP,False,Female,False,False,False,3,Month-to-month,False,Mailed check,19.85,57.2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0031-PVLZI,True,Female,False,True,True,4,Month-to-month,False,Mailed check,20.35,76.35,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0032-PGELS,True,Female,False,True,True,1,Month-to-month,False,Bank transfer (automatic),30.5,30.5,False,No phone service,DSL,Yes,No,No,No,No,No
0036-IHMOT,False,Female,False,True,True,55,One year,True,Bank transfer (automatic),103.7,5656.75,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0040-HALCW,False,Male,False,True,True,54,Two year,False,Credit card (automatic),20.4,1090.6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0042-JVWOJ,False,Male,False,False,False,26,One year,True,Bank transfer (automatic),19.6,471.85,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0042-RLHYP,False,Female,False,True,True,69,Two year,False,Bank transfer (automatic),19.7,1396.9,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0048-LUMLS,False,Male,False,True,True,37,One year,False,Credit card (automatic),91.2,3247.55,True,No,Fiber optic,No,No,No,No,Yes,Yes
0048-PIHNL,False,Female,False,True,False,49,One year,False,Bank transfer (automatic),20.45,900.9,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0052-DCKON,False,Male,False,True,False,66,One year,False,Bank transfer (automatic),115.8,7942.15,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,False,Female,False,False,False,67,One year,False,Electronic check,20.55,1343.4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0056-EPFBG,False,Male,False,True,True,20,Two year,True,Credit card (automatic),39.4,825.4,False,No phone service,DSL,Yes,No,Yes,Yes,No,No
0057-QBUQH,False,Female,False,False,True,43,Two year,True,Electronic check,25.1,1070.15,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0058-EVZWM,False,Female,False,True,False,55,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,True,Yes,Fiber optic,Yes,No,No,No,Yes,No
0060-FUALY,False,Female,False,True,False,59,Month-to-month,True,Electronic check,94.75,5597.65,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
0064-SUDOG,False,Female,False,True,True,12,Two year,False,Bank transfer (automatic),20.3,224.5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0064-YIJGF,False,Male,False,True,True,27,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,True,Yes,Fiber optic,No,No,No,No,No,No
0067-DKWBL,True,Male,True,False,False,2,Month-to-month,True,Electronic check,49.25,91.1,True,No,DSL,Yes,No,No,No,No,No
0068-FIGTF,False,Female,False,False,False,27,One year,False,Mailed check,78.2,2078.95,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,False,Male,False,True,True,25,Two year,False,Credit card (automatic),25.5,630.6,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0074-HDKDG,False,Male,False,True,True,25,One year,True,Bank transfer (automatic),61.6,1611.0,True,No,DSL,Yes,Yes,Yes,No,No,No
0076-LVEPS,False,Male,False,False,True,29,Month-to-month,True,Mailed check,45.0,1242.45,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0078-XZMHT,False,Male,False,True,False,72,Two year,True,Bank transfer (automatic),85.15,6316.2,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,False,Female,False,False,False,14,One year,False,Credit card (automatic),51.45,727.85,True,No,DSL,No,Yes,No,No,No,No
0080-OROZO,False,Female,False,False,False,35,One year,True,Electronic check,99.25,3532.0,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
0082-LDZUE,False,Male,False,False,False,1,Month-to-month,True,Mailed check,44.3,44.3,True,No,DSL,No,No,No,No,No,No
0082-OQIQY,False,Male,False,False,False,29,Month-to-month,True,Electronic check,94.2,2607.6,True,No,Fiber optic,No,No,No,Yes,Yes,Yes
0083-PIVIK,False,Male,False,False,False,64,One year,False,Electronic check,81.25,5567.55,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
0089-IIQKO,False,Female,False,True,True,39,Month-to-month,True,Credit card (automatic),99.95,3767.4,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
0093-EXYQL,False,Female,True,False,False,40,Month-to-month,True,Electronic check,91.55,3673.6,True,No,Fiber optic,No,No,No,No,Yes,Yes
0093-XWZFY,True,Male,False,False,False,40,Month-to-month,True,Credit card (automatic),104.5,4036.85,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0094-OIFMO,True,Female,True,False,False,11,Month-to-month,True,Electronic check,95.0,1120.3,True,No,Fiber optic,No,Yes,No,No,Yes,Yes
0096-BXERS,False,Female,False,True,False,6,Month-to-month,False,Electronic check,50.35,314.55,True,Yes,DSL,No,No,No,No,No,No
0096-FCPUF,False,Male,False,False,False,30,Month-to-month,True,Mailed check,64.5,1888.45,True,Yes,DSL,Yes,No,No,No,No,Yes
0098-BOWSO,False,Male,False,False,False,27,Month-to-month,True,Electronic check,19.4,529.8,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0100-DUVFC,False,Male,True,True,False,70,One year,True,Electronic check,104.8,7308.95,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0103-CSITQ,False,Female,False,True,False,57,One year,True,Bank transfer (automatic),109.4,6252.7,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,False,Male,False,True,False,58,One year,False,Credit card (automatic),50.3,2878.55,True,No,DSL,No,No,Yes,No,No,No
0106-GHRQR,False,Male,False,False,False,16,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,True,Yes,DSL,No,Yes,Yes,No,No,Yes
0106-UGRDO,False,Female,False,True,False,69,Two year,True,Electronic check,116.0,8182.85,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,True,Male,False,False,False,1,Month-to-month,True,Electronic check,19.85,19.85,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0107-YHINA,True,Male,False,False,True,1,Month-to-month,True,Electronic check,99.75,99.75,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0111-KLBQG,False,Male,True,True,True,32,Month-to-month,True,Mailed check,93.95,2861.45,True,No,Fiber optic,No,Yes,No,No,Yes,Yes
0112-QAWRZ,False,Male,False,True,True,16,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,True,Yes,Fiber optic,No,No,Yes,No,Yes,No
0112-QWPNC,True,Male,False,True,False,49,One year,False,Electronic check,84.35,4059.35,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
0114-IGABW,False,Female,False,True,False,71,Two year,False,Bank transfer (automatic),58.25,4145.9,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,False,Female,False,False,False,33,Month-to-month,False,Electronic check,107.55,3645.5,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0114-RSRRW,False,Female,False,True,False,10,Month-to-month,True,Bank transfer (automatic),19.95,187.75,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0115-TFERT,True,Male,False,True,False,21,Month-to-month,True,Electronic check,111.2,2317.1,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,True,Male,False,True,True,37,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,False,No phone service,DSL,Yes,Yes,Yes,No,No,No
0118-JPNOY,False,Female,True,False,False,26,Month-to-month,True,Credit card (automatic),85.8,2193.65,True,No,Fiber optic,Yes,No,No,No,Yes,No
0121-SNYRK,False,Male,False,False,False,50,One year,True,Mailed check,35.4,1748.9,False,No phone service,DSL,Yes,No,No,Yes,No,No
0122-OAHPZ,True,Female,False,False,False,7,Month-to-month,True,Electronic check,73.85,511.25,True,Yes,Fiber optic,No,No,No,No,No,No
0123-CRBRT,False,Female,False,True,True,61,Two year,False,Mailed check,88.1,5526.75,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,True,Male,False,False,False,15,Month-to-month,True,Electronic check,101.35,1553.95,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
0128-MKWSG,False,Female,False,False,True,26,Month-to-month,False,Mailed check,45.8,1147.0,False,No phone service,DSL,Yes,No,No,Yes,No,Yes
0129-KPTWJ,False,Male,False,True,False,72,Month-to-month,True,Electronic check,94.65,6747.35,True,No,Fiber optic,No,No,Yes,No,Yes,Yes
0129-QMPDR,False,Male,False,True,True,44,One year,True,Bank transfer (automatic),20.5,865.05,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0130-SXOUN,False,Male,False,False,False,66,Month-to-month,False,Credit card (automatic),89.4,5976.9,True,Yes,Fiber optic,No,Yes,No,No,No,Yes
0133-BMFZO,True,Female,False,False,False,2,Month-to-month,True,Electronic check,86.25,181.65,True,No,Fiber optic,Yes,Yes,No,Yes,No,No
0134-XWXCE,False,Female,True,False,False,44,One year,False,Bank transfer (automatic),74.85,3268.05,True,No,DSL,No,No,Yes,Yes,Yes,Yes
0135-NMXAP,True,Female,False,False,False,12,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,True,Yes,Fiber optic,No,Yes,No,No,Yes,No
0136-IFMYD,False,Male,True,True,False,69,Two year,True,Electronic check,109.95,7634.25,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0137-OCGAB,True,Female,False,False,False,1,Month-to-month,True,Mailed check,80.2,80.2,True,Yes,Fiber optic,No,Yes,No,No,No,No
0137-UDEUO,True,Female,False,False,False,3,Month-to-month,False,Mailed check,19.85,63.75,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0139-IVFJG,False,Female,False,True,False,2,Month-to-month,False,Electronic check,90.35,190.5,True,No,Fiber optic,Yes,Yes,No,No,Yes,No
0141-YEAYS,False,Female,True,False,False,27,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,True,Yes,Fiber optic,No,Yes,Yes,No,No,No
0142-GVYSN,False,Male,False,False,False,26,Month-to-month,True,Electronic check,20.3,511.25,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0147-ESWWR,False,Female,True,True,False,39,Month-to-month,True,Electronic check,101.25,3949.15,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
0148-DCDOS,True,Male,False,False,False,25,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,True,Yes,Fiber optic,No,No,No,No,Yes,Yes
0151-ONTOV,True,Female,False,False,False,1,Month-to-month,False,Mailed check,70.9,70.9,True,No,Fiber optic,No,No,No,No,No,No
0156-FVPTA,True,Male,False,True,False,22,Month-to-month,True,Electronic check,54.2,1152.7,True,No,DSL,Yes,No,No,Yes,No,No
0164-APGRB,False,Female,False,False,False,72,Two year,True,Electronic check,114.9,8496.7,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,False,Female,False,False,False,24,Two year,True,Bank transfer (automatic),19.55,470.2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0168-XZKBB,False,Female,False,True,False,19,Month-to-month,True,Electronic check,86.85,1564.4,True,Yes,Fiber optic,No,No,No,No,Yes,No
0174-QRVVY,False,Male,False,True,True,71,Two year,False,Credit card (automatic),25.35,1847.55,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0177-PXBAT,False,Male,True,True,False,33,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0178-CIIKR,False,Female,False,False,False,3,Month-to-month,False,Mailed check,19.95,58.0,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0178-SZBHO,False,Male,False,True,True,47,Month-to-month,False,Electronic check,87.2,4017.45,True,Yes,Fiber optic,No,Yes,No,No,Yes,No
0181-RITDD,False,Male,False,True,True,62,Two year,False,Mailed check,108.15,6825.65,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0186-CAERR,False,Male,False,False,False,71,One year,True,Bank transfer (automatic),116.3,8309.55,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,False,Male,True,True,False,7,Month-to-month,True,Electronic check,89.0,605.45,True,No,Fiber optic,No,No,No,No,Yes,Yes
0187-WZNAB,False,Female,False,True,True,27,Month-to-month,False,Mailed check,74.4,1972.35,True,No,Fiber optic,Yes,No,No,No,No,No
0188-GWFLE,False,Male,False,False,False,2,Month-to-month,False,Mailed check,20.05,33.7,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0191-EQUUH,False,Female,False,False,True,25,Two year,False,Bank transfer (automatic),35.05,844.45,False,No phone service,DSL,Yes,No,No,Yes,No,No
0191-ZHSKZ,False,Male,True,False,False,30,Month-to-month,True,Electronic check,74.75,2111.3,True,No,DSL,Yes,Yes,No,No,Yes,Yes
0193-ESZXP,True,Female,True,True,False,58,One year,True,Credit card (automatic),105.5,6205.5,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
0195-IESCP,True,Male,False,True,False,10,Month-to-month,True,Electronic check,85.25,855.3,True,Yes,Fiber optic,No,No,No,No,No,Yes
0196-JTUQI,False,Female,False,False,False,9,Month-to-month,True,Credit card (automatic),75.2,633.85,True,Yes,Fiber optic,No,No,No,No,No,No
0196-VULGZ,True,Female,True,True,False,6,Month-to-month,True,Electronic check,84.35,474.9,True,Yes,Fiber optic,No,No,No,No,No,Yes
0197-PNKNK,False,Female,False,True,True,69,One year,False,Bank transfer (automatic),84.45,5848.6,True,Yes,Fiber optic,Yes,No,Yes,No,No,No
0201-MIBOL,False,Female,True,False,False,66,Two year,True,Bank transfer (automatic),102.4,6471.85,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
0201-OAMXR,True,Female,False,False,False,70,One year,False,Credit card (automatic),115.55,8127.6,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,True,Male,False,False,False,25,One year,False,Bank transfer (automatic),25.3,676.35,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0206-OYVOC,False,Female,False,True,True,46,Two year,True,Mailed check,19.25,864.2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0206-TBWLC,False,Female,False,True,False,54,One year,True,Mailed check,114.65,6049.5,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,True,Female,False,False,False,15,Month-to-month,False,Electronic check,105.1,1582.75,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0208-BPQEJ,False,Female,False,True,True,12,Month-to-month,False,Bank transfer (automatic),19.4,198.1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0212-ISBBF,False,Female,False,False,False,22,Month-to-month,True,Electronic check,50.35,1098.85,False,No phone service,DSL,No,Yes,No,No,Yes,Yes
0214-JHPFW,False,Female,False,True,False,70,Two year,False,Bank transfer (automatic),57.8,4039.3,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
0215-BQKGS,False,Male,False,False,False,30,Month-to-month,True,Credit card (automatic),84.3,2438.6,True,No,Fiber optic,Yes,Yes,Yes,No,No,No
0218-QNVAS,False,Male,False,True,True,71,One year,False,Bank transfer (automatic),100.55,7113.75,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
0219-QAERP,False,Male,False,True,False,30,One year,False,Credit card (automatic),19.8,576.65,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0219-YTZUE,True,Male,False,True,True,4,Month-to-month,True,Bank transfer (automatic),84.8,371.9,True,Yes,Fiber optic,No,Yes,Yes,No,No,No
0220-EBGCE,True,Male,False,False,False,2,Month-to-month,True,Electronic check,85.85,167.3,True,No,Fiber optic,No,No,Yes,No,No,Yes
0221-NAUXK,False,Male,False,False,True,10,One year,True,Bank transfer (automatic),19.95,219.5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0221-WMXNQ,False,Male,True,False,False,4,Month-to-month,False,Electronic check,75.35,273.4,True,No,Fiber optic,Yes,No,No,No,No,No
0222-CNVPT,False,Male,True,False,False,52,Month-to-month,True,Credit card (automatic),48.8,2555.05,False,No phone service,DSL,Yes,No,No,No,Yes,Yes
0224-HJAPT,True,Male,False,False,False,5,Month-to-month,False,Electronic check,47.15,223.15,True,Yes,DSL,No,No,No,No,No,No
0224-NIJLP,False,Male,False,True,True,8,Two year,False,Mailed check,20.15,165.5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0224-RLWWD,False,Female,True,False,False,2,Month-to-month,True,Electronic check,44.3,89.3,True,No,DSL,No,No,No,No,No,No
0225-ZORZP,False,Male,False,False,False,3,Month-to-month,False,Electronic check,84.3,235.05,True,No,Fiber optic,No,Yes,No,No,No,Yes
0228-MAUWC,False,Male,False,False,False,19,Month-to-month,False,Electronic check,59.55,1144.6,True,Yes,DSL,No,No,Yes,Yes,No,No
0229-LFJAF,False,Male,False,False,False,72,Two year,False,Bank transfer (automatic),69.65,4908.25,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No
0230-UBYPQ,False,Male,True,True,False,63,One year,False,Bank transfer (automatic),36.1,2298.9,False,No phone service,DSL,Yes,No,No,Yes,No,No
0230-WEQUW,False,Male,False,True,False,66,Two year,True,Bank transfer (automatic),56.6,3789.2,False,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
0231-LXVAP,True,Male,False,False,False,1,Month-to-month,True,Electronic check,75.9,75.9,True,No,Fiber optic,No,No,No,Yes,No,No
0233-FTHAV,False,Female,False,False,False,60,One year,True,Bank transfer (automatic),79.2,4765.0,True,Yes,Fiber optic,No,No,Yes,No,No,No
0234-TEVTT,False,Female,False,True,True,48,One year,False,Credit card (automatic),45.0,2196.3,False,No phone service,DSL,Yes,No,Yes,No,No,Yes
0235-KGSLC,True,Female,False,False,False,1,Month-to-month,True,Credit card (automatic),85.55,85.55,True,No,Fiber optic,No,No,Yes,No,Yes,No
0236-HFWSV,True,Male,False,False,False,15,Month-to-month,True,Electronic check,93.35,1444.65,True,Yes,Fiber optic,No,No,No,No,Yes,Yes
0237-YFUTL,False,Female,False,True,False,50,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
0238-WHBIQ,False,Male,False,True,True,72,Two year,False,Credit card (automatic),89.7,6339.3,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0239-OXEXL,False,Female,False,False,False,46,Month-to-month,False,Mailed check,84.25,3847.6,True,Yes,Fiber optic,Yes,Yes,No,No,No,No
0244-LGNFY,False,Female,False,True,True,72,Two year,False,Bank transfer (automatic),92.65,6733.0,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0247-SLUJI,False,Male,False,True,True,1,Month-to-month,False,Mailed check,19.7,19.7,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0248-IPDFW,False,Female,False,False,False,1,Month-to-month,True,Electronic check,50.1,50.1,True,Yes,DSL,No,No,No,No,No,No
0248-PGHBZ,False,Female,True,False,False,67,Two year,True,Bank transfer (automatic),92.45,6140.85,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
0253-ZTEOB,False,Female,False,True,True,48,Two year,False,Electronic check,79.65,3870.3,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes
0254-FNMCI,False,Female,False,False,False,72,Two year,True,Electronic check,109.9,7624.2,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0254-KCJGT,False,Male,False,True,False,52,One year,True,Credit card (automatic),81.4,4354.45,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
0254-WWRKD,False,Female,False,True,True,67,One year,False,Credit card (automatic),50.55,3431.75,True,No,DSL,No,Yes,No,No,No,No
0256-LTHVJ,True,Female,False,True,True,28,Month-to-month,True,Electronic check,81.05,2227.1,True,No,Fiber optic,No,No,No,No,No,Yes
0257-KXZGU,False,Female,False,True,True,32,Month-to-month,False,Bank transfer (automatic),62.45,2045.55,True,Yes,DSL,No,Yes,Yes,No,No,No
0257-ZESQC,True,Female,True,True,False,27,Month-to-month,True,Bank transfer (automatic),75.2,1929.35,True,No,Fiber optic,Yes,No,No,No,No,No
0258-NOKBL,False,Male,False,False,False,3,Month-to-month,False,Electronic check,90.4,268.45,True,No,Fiber optic,No,Yes,Yes,No,No,Yes
0259-GBZSH,True,Male,False,False,False,2,Month-to-month,True,Electronic check,85.65,181.5,True,Yes,Fiber optic,No,No,No,No,Yes,No
0260-ZDLGK,True,Female,False,False,True,9,Month-to-month,True,Mailed check,72.9,651.4,True,No,DSL,No,No,Yes,Yes,Yes,Yes
0263-FJTQO,False,Male,False,True,True,50,Two year,True,Credit card (automatic),70.5,3486.65,True,Yes,DSL,Yes,No,No,Yes,Yes,No
0264-CNITK,False,Female,False,True,True,71,Two year,False,Bank transfer (automatic),20.1,1389.6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,True,Male,True,True,False,32,Month-to-month,True,Electronic check,74.9,2303.35,True,Yes,Fiber optic,No,No,No,No,No,No
0265-PSUAE,False,Female,False,True,True,16,Month-to-month,False,Bank transfer (automatic),100.7,1522.7,True,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
0266-CLZKZ,False,Female,False,True,True,67,Two year,True,Bank transfer (automatic),105.65,6717.9,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0266-GMEAO,False,Male,False,True,True,72,Two year,True,Credit card (automatic),114.3,8058.55,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0268-QKIWO,True,Female,False,False,False,3,Month-to-month,False,Electronic check,19.75,58.85,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0269-XFESX,False,Male,False,True,True,23,One year,False,Mailed check,24.35,538.5,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0270-THENM,False,Male,False,True,True,72,Two year,False,Bank transfer (automatic),69.85,5102.35,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No
0274-JKUJR,False,Male,False,True,True,7,Month-to-month,False,Mailed check,58.85,465.7,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
0277-BKSQP,False,Male,False,True,True,8,Month-to-month,True,Electronic check,54.4,475.1,True,No,DSL,No,No,No,No,Yes,No
0277-ORXQS,False,Male,False,True,True,66,Two year,False,Bank transfer (automatic),50.55,3364.55,False,No phone service,DSL,No,No,No,Yes,Yes,Yes
0278-YXOOG,True,Male,False,False,False,5,Month-to-month,False,Mailed check,21.05,113.85,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0280-XJGEX,True,Male,False,False,False,49,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0281-CNTZX,False,Male,False,True,False,63,Two year,True,Bank transfer (automatic),19.95,1234.8,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0282-NVSJS,False,Female,True,True,True,12,Month-to-month,True,Mailed check,29.3,355.9,False,No phone service,DSL,No,No,No,Yes,No,No
0285-INHLN,False,Male,False,True,True,27,Month-to-month,True,Credit card (automatic),54.75,1510.3,True,No,DSL,Yes,Yes,No,No,No,No
0289-IVARM,False,Female,False,False,False,35,Month-to-month,False,Electronic check,60.55,1982.6,True,No,DSL,Yes,Yes,Yes,No,No,No
